# mass(g) temperature(K) clouds reduced_chi_squared
9.552e+28 1900 None 440611.5111806161
9.552e+28 2000 None 4498376.5037751105
1.0746000000000001e+29 300 None 1533.2325418391804
1.0746000000000001e+29 400 None 1406.8383100427839
1.0746000000000001e+29 500 None 1259.8866958051499
1.0746000000000001e+29 600 None 1086.860262865089
1.0746000000000001e+29 700 None 897.4881424790058
1.0746000000000001e+29 800 None 704.8962343450928
1.0746000000000001e+29 900 None 522.6675322573241
1.0746000000000001e+29 1000 None 359.01288991680957
1.0746000000000001e+29 1100 None 229.6737332884056
1.0746000000000001e+29 1200 None 157.74769244671697
1.0746000000000001e+29 1300 None 188.9166347393434
1.0746000000000001e+29 1400 None 407.31486690804513
1.0746000000000001e+29 1500 None 983.6517460251251
1.0746000000000001e+29 1600 None 2276.7433382171926
1.0746000000000001e+29 1700 None 5083.855265194339
1.0746000000000001e+29 1800 None 11371.836656025476
1.0746000000000001e+29 1900 None 26628.083137501784
1.0746000000000001e+29 2000 None 69943.97108281252
1.1940000000000002e+29 300 None 1557.9778871855117
1.1940000000000002e+29 400 None 1444.6948869890778
1.1940000000000002e+29 500 None 1314.4101027816791
1.1940000000000002e+29 600 None 1162.1710312140387
1.1940000000000002e+29 700 None 996.2209091377172
1.1940000000000002e+29 800 None 827.2695223530618
1.1940000000000002e+29 900 None 665.6094662682365
1.1940000000000002e+29 1000 None 514.4239389523219
1.1940000000000002e+29 1100 None 380.9497059051059
1.1940000000000002e+29 1200 None 271.96188579319465
1.1940000000000002e+29 1300 None 201.9240601639878
1.1940000000000002e+29 1400 None 196.64651427692607
1.1940000000000002e+29 1500 None 301.46152259453993
1.1940000000000002e+29 1600 None 597.7871992297556
1.1940000000000002e+29 1700 None 1244.2572376009082
1.1940000000000002e+29 1800 None 2547.6211170445076
1.1940000000000002e+29 1900 None 5133.633630672329
1.1940000000000002e+29 2000 None 10456.146844846326
1.194e+28 300 0.001 102741834.8234712
1.194e+28 400 0.001 1620013855.3249419
1.194e+28 500 0.001 1478813828.8530703
1.194e+28 600 0.001 43602946900.41712
1.194e+28 700 0.001 1400175434.5420914
1.194e+28 800 0.001 212777708.71113837
1.194e+28 900 0.001 222265735.83769843
1.194e+28 1000 0.001 15394064.439595638
1.194e+28 1100 0.001 2330457.692201282
1.194e+28 1200 0.001 124269.80213692143
1.194e+28 1300 0.001 8182.239075189857
1.194e+28 1400 0.001 1792.3986959923195
1.194e+28 1500 0.001 1792.3986959923195
1.194e+28 1600 0.001 1792.3986959923195
1.194e+28 1700 0.001 1792.3986959923195
1.194e+28 1800 0.001 1792.3986959923195
1.194e+28 1900 0.001 1792.3986959923195
1.194e+28 2000 0.001 1792.3986959923195
2.388e+28 300 0.001 1220.179070726943
2.388e+28 400 0.001 418.7557673798283
2.388e+28 500 0.001 377442.87569943717
2.388e+28 600 0.001 1279718779.4902196
2.388e+28 700 0.001 9558716634246.059
2.388e+28 800 0.001 9771165494.572369
2.388e+28 900 0.001 447539051.5531556
2.388e+28 1000 0.001 2526985696.908123
2.388e+28 1100 0.001 609179616.1538272
2.388e+28 1200 0.001 1173022977.4360697
2.388e+28 1300 0.001 46114831.846792534
2.388e+28 1400 0.001 6358028.495210627
2.388e+28 1500 0.001 467431.6239828504
2.388e+28 1600 0.001 16120.774459375178
2.388e+28 1700 0.001 1735.297908358824
2.388e+28 1800 0.001 1792.2534071333448
2.388e+28 1900 0.001 1792.3918524791973
2.388e+28 2000 0.001 1792.3983124290883
3.5820000000000003e+28 300 0.001 1522.1892205980957
3.5820000000000003e+28 400 0.001 1106.5832439287542
3.5820000000000003e+28 500 0.001 384.10471985057495
3.5820000000000003e+28 600 0.001 1074.3712824280303
3.5820000000000003e+28 700 0.001 69108.98629653714
3.5820000000000003e+28 800 0.001 53489343764.41379
3.5820000000000003e+28 900 0.001 4116452774.9381585
3.5820000000000003e+28 1000 0.001 32548001262.255836
3.5820000000000003e+28 1100 0.001 944522263.4142784
3.5820000000000003e+28 1200 0.001 10363473410.621742
3.5820000000000003e+28 1300 0.001 7040679478.675144
3.5820000000000003e+28 1400 0.001 504127943.83483607
3.5820000000000003e+28 1500 0.001 366967492.5113653
3.5820000000000003e+28 1600 0.001 60634001.73638326
3.5820000000000003e+28 1700 0.001 6394382.753563258
3.5820000000000003e+28 1800 0.001 1966.4014743514063
3.5820000000000003e+28 1900 0.001 30349.62876029227
3.5820000000000003e+28 2000 0.001 1695.0070323564762
4.776e+28 300 0.001 1621.0998675440665
4.776e+28 400 0.001 1382.8154185611795
4.776e+28 500 0.001 952.7040997239684
4.776e+28 600 0.001 355.98885659975474
4.776e+28 700 0.001 106.3073954753769
4.776e+28 800 0.001 3815.63149925532
4.776e+28 900 0.001 53043.90350515287
4.776e+28 1000 0.001 2799117.2489055647
4.776e+28 1100 0.001 17773660729.102547
4.776e+28 1200 0.001 6784609022.843301
4.776e+28 1300 0.001 9255107089.739628
4.776e+28 1400 0.001 1828773266890.2983
4.776e+28 1500 0.001 776077670.4602305
4.776e+28 1600 0.001 4775615410.10825
